episode,episode_reward,smoothed_reward
0,-5195.0,-62037.920000000006
1,-3896.0,-62071.94
2,-4287.0,-62111.420000000006
3,-3982.0,-62154.12
4,-3876.0,-62200.75
5,-3927.0,-62240.65
6,-4955.0,-62287.3
7,-4656.0,-62326.47
8,-4276.0,-62369.11
9,-3899.0,-62415.11
10,-1004256.0,-62453.83
11,-3964.0,-62499.85
12,-4294.0,-62544.409999999996
13,-3897.0,-62585.27
14,-3922.0,-62632.130000000005
15,-1003692.0,-62669.71000000001
16,-4302.0,-62704.600000000006
17,-4668.0,-62751.200000000004
18,-3692.0,-62797.65
19,-4112.0,-62840.23
20,-3724.0,-62891.86
21,-3946.0,-62945.81
22,-4650.0,-72980.72
23,-4993.0,-73028.88
24,-4221.0,-73071.74
25,-4284.0,-73119.84000000001
26,-3229.0,-73169.56000000001
27,-3927.0,-73208.48000000001
28,-4260.0,-73249.18000000001
29,-4296.0,-73285.29000000001
30,-1003942.0,-73324.77
31,-4729.0,-73367.55
32,-3597.0,-73406.8
33,-3743.0,-83445.88
34,-3364.0,-83493.58
35,-4067.0,-83540.15000000001
36,-3456.0,-103575.36000000002
37,-3908.0,-103618.08000000002
38,-3868.0,-103660.86000000002
39,-1003377.0,-103703.32000000002
40,-3920.0,-103749.28000000003
41,-4276.0,-103786.10000000003
42,-4276.0,-103828.90000000004
43,-4304.0,-103869.44000000003
44,-4276.0,-103904.58000000003
45,-1003308.0,-113947.00000000003
46,-4706.0,-113990.06999999999
47,-3749.0,-114029.28
48,-4630.0,-114070.06
49,-1003018.0,-114113.09999999999
50,-3402.0,-124151.81
51,-3948.0,-124133.43
52,-4270.0,-124137.04000000001
53,-4663.0,-124133.01000000002
54,-3990.0,-124136.13000000003
55,-4665.0,-124143.88000000002
56,-3917.0,-124143.76
57,-4264.0,-124136.88999999998
58,-4600.0,-124126.94999999998
59,-3872.0,-124126.88999999998
60,-4602.0,-124126.93
61,-4456.0,-114127.34999999999
62,-4086.0,-114132.84999999999
63,-4686.0,-114132.65000000001
64,-3758.0,-114136.56000000001
65,-3489.0,-114147.77
66,-4660.0,-104156.81000000001
67,-4645.0,-104163.74
68,-4258.0,-124155.84
69,-5163.0,-134157.86
70,-5395.0,-134156.03
71,-1003491.0,-134161.37
72,-4816.0,-134169.1
73,-4286.0,-134161.45
74,-4810.0,-134155.97999999998
75,-4972.0,-134159.81
76,-3892.0,-144159.31
77,-4070.0,-144166.47999999998
78,-3611.0,-144169.88999999998
79,-3948.0,-144169.86
80,-4278.0,-144166.38
81,-3925.0,-134161.14
82,-1003908.0,-144151.05000000002
83,-4770.0,-144150.29
84,-4657.0,-144158.92
85,-2003521.0,-144162.82
